code,name,building,capacity,type,facilities
A101,Large Lecture Hall,Academic Block A,120,lecture,"Projector,Whiteboard,AC,Audio System,Microphone"
A102,Lecture Hall A102,Academic Block A,80,lecture,"Projector,Whiteboard,AC,Audio System"
A103,Lecture Hall A103,Academic Block A,60,lecture,"Projector,Whiteboard,AC"
A104,Medium Lecture Hall,Academic Block A,100,lecture,"Projector,Whiteboard,AC,Audio System"
A105,Small Lecture Hall,Academic Block A,40,lecture,"Projector,Whiteboard,AC"
A106,Seminar Room A106,Academic Block A,25,tutorial,"Projector,Whiteboard,AC,Round Tables"
B101,Computer Lab 1,Tech Block B,35,lab,"Computers,Projector,AC,Internet,Software"
B102,Computer Lab 2,Tech Block B,35,lab,"Computers,Projector,AC,Internet,Software"
B103,Advanced Computer Lab,Tech Block B,30,lab,"High-End Computers,Projector,AC,3D Printers,VR Equipment"
B104,Network Lab,Tech Block B,25,lab,"Networking Equipment,Computers,Projector,AC"
B105,Software Lab,Tech Block B,40,lab,"Computers,Projector,AC,Development Tools"
B106,Web Technology Lab,Tech Block B,35,lab,"Computers,Projector,AC,Internet,Web Servers,Development Tools,Software"
B107,Computer Networks Lab,Tech Block B,30,lab,"Networking Equipment,Routers,Switches,Computers,Projector,AC,Network Simulators"
B201,Physics Lab 1,Tech Block B,25,lab,"Physics Equipment,Projector,Safety Equipment"
B202,Physics Lab 2,Tech Block B,25,lab,"Advanced Physics Equipment,Projector,Oscilloscopes"
B203,Electronics Lab,Tech Block B,20,lab,"Electronics Equipment,Oscilloscopes,Projector,Soldering Stations"
C101,Chemistry Lab 1,Science Block C,20,lab,"Fume Hoods,Chemical Storage,Safety Equipment,Emergency Shower"
C102,Chemistry Lab 2,Science Block C,20,lab,"Fume Hoods,Advanced Equipment,Safety Equipment,Gas Lines"
C103,Organic Chemistry Lab,Science Block C,18,lab,"Fume Hoods,Distillation Equipment,Safety Equipment"
C201,Biology Lab 1,Science Block C,25,lab,"Microscopes,Incubators,Refrigeration,Sterile Equipment"
C202,Biology Lab 2,Science Block C,25,lab,"Advanced Microscopes,Cell Culture,PCR Equipment"
C203,Microbiology Lab,Science Block C,20,lab,"Biosafety Cabinet,Autoclave,Incubators,Microscopes"
D101,Tutorial Room 1,Academic Block D,30,tutorial,"Whiteboard,Movable Tables,Projector"
D102,Tutorial Room 2,Academic Block D,25,tutorial,"Whiteboard,Round Tables,Projector"
D103,Tutorial Room 3,Academic Block D,20,tutorial,"Whiteboard,Collaborative Seating"
D104,Tutorial Room 4,Academic Block D,35,tutorial,"Smart Board,Flexible Seating,AC"
D105,Discussion Room,Academic Block D,15,tutorial,"Whiteboard,Round Table,Projector"
E101,Main Auditorium,Central Block E,300,lecture,"Stage,Professional Audio,Video Wall,AC,Recording Equipment"
E102,Mini Auditorium,Central Block E,150,lecture,"Stage,Audio System,Large Projector,AC"
F101,Library Study Room 1,Library Block F,12,tutorial,"Quiet Zone,Whiteboard,Computers"
F102,Library Study Room 2,Library Block F,15,tutorial,"Quiet Zone,Projector,Tables"
F103,Group Study Room,Library Block F,20,tutorial,"Collaborative Space,Whiteboard,Computers,AC"
G101,ISE Workshop,Industrial Block G,30,lab,"Industrial Equipment,CAD Stations,3D Printers,Safety Equipment"
G102,Manufacturing Lab,Industrial Block G,25,lab,"CNC Machines,Measurement Tools,Safety Equipment"
G103,Quality Control Lab,Industrial Block G,20,lab,"Testing Equipment,Measurement Instruments,Computers"
